Date;PO;TPS;TVQ;Total_Des_Departements;Rabais
2022-01-01;;;;;
2022-01-02;;;;;
2022-01-03;;;;;
2022-01-04;;;;;
2022-01-05;;;;;
2022-01-06;;;;;
2022-01-07;;;;;
2022-01-08;;;;;
2022-01-09;;;;;
2022-01-10;;;;;
2022-01-11;;;;;
2022-01-12;;;;;
2022-01-13;;;;;
2022-01-14;;;;;
2022-01-15;;;;;
2022-01-16;;;;;
2022-01-17;;;;;
2022-01-18;60.00;143.58;203.35;2940.22;0.60
2022-01-19;20.00;19.57;39.02;450.36;0.00
2022-01-20;40.00;29.79;36.66;608.51;12.80
2022-01-21;0.00;20.86;40.11;417.05;0.00
2022-01-22;40.00;45.56;90.88;825.97;0.00
2022-01-23;0.00;15.43;24.79;308.45;0.00
2022-01-24;;;;;
2022-01-25;0.00;13.97;18.04;382.52;0.00
2022-01-26;0.00;17.83;30.08;356.55;0.00
2022-01-27;20.00;36.58;64.24;747.15;15.60
2022-01-28;20.00;27.74;49.61;557.90;3.67
2022-01-29;0.00;24.05;42.19;490.35;0.00
2022-01-30;0.00;40.34;76.99;806.80;0.00
2022-01-31;;;;;
2022-02-01;0.00;9.50;15.56;190.00;0.00
2022-02-02;20.00;38.39;64.44;767.53;0.00
2022-02-03;0.00;29.90;38.56;597.43;0.00
2022-02-04;20.00;37.24;52.34;744.04;0.00
2022-02-05;0.00;32.90;61.01;657.66;0.00
2022-02-06;0.00;19.08;38.05;381.45;0.00
2022-02-07;;;;;
2022-02-08;20.00;30.47;43.87;738.93;5.84
2022-02-09;0.00;9.96;13.48;199.05;0.00
2022-02-10;0.00;41.16;61.83;972.69;0.00
2022-02-11;0.00;9.93;19.80;207.60;0.00
2022-02-12;40.00;38.93;66.20;795.37;0.00
2022-02-13;0.00;14.78;24.27;295.50;0.00
2022-02-14;;;;;
2022-02-15;0.00;114.19;223.81;2283.70;0.00
2022-02-16;0.00;15.58;24.90;315.25;3.67
2022-02-17;0.00;9.22;12.01;217.90;21.00
2022-02-18;0.00;23.66;46.13;472.96;0.00
2022-02-19;48.00;41.96;76.32;839.25;0.00
2022-02-20;20.00;23.35;43.34;466.99;0.00
2022-02-21;;;;;
2022-02-22;0.00;4.18;3.44;124.00;0.00
2022-02-23;40.00;44.81;17.45;895.92;0.00
2022-02-24;20.00;19.31;36.91;386.00;0.00
2022-02-25;0.00;186.70;372.45;4576.20;842.50
2022-02-26;0.00;25.14;34.58;608.06;0.00
2022-02-27;;;;0.00;
2022-02-28;;;;;
2022-03-01;20.00;42.74;56.63;930.67;0.00
2022-03-02;60.00;53.02;79.51;1072.45;12.34
2022-03-03;0.00;33.44;66.70;692.62;24.00
2022-03-04;20.00;54.54;85.80;1100.25;0.00
2022-03-05;105.00;24.55;41.37;526.55;0.00
2022-03-06;20.00;19.24;33.20;468.82;0.00
2022-03-07;;;;;
2022-03-08;0.00;16.39;28.69;399.55;0.00
2022-03-09;20.00;23.01;22.84;459.95;0.00
2022-03-10;0.00;16.59;30.67;331.70;0.00
2022-03-11;0.00;25.45;37.99;508.94;0.00
2022-03-12;0.00;15.73;25.86;944.84;0.00
2022-03-13;0.00;23.86;43.16;416.95;0.00
2022-03-14;;;;;
2022-03-15;0.00;15.29;29.10;381.45;3.67
2022-03-16;0.00;14.57;22.57;291.20;0.00
2022-03-17;0.00;14.41;12.77;288.00;0.00
2022-03-18;0.00;21.63;39.11;504.20;0.00
2022-03-19;40.00;51.73;88.41;917.35;2.86
2022-03-20;60.00;53.66;83.81;1153.65;88.60
2022-03-21;;;;;
2022-03-22;0.00;26.23;46.13;584.60;0.00
2022-03-23;20.00;18.77;32.25;534.21;14.98
2022-03-24;0.00;21.25;31.31;428.91;4.08
2022-03-25;20.00;21.99;38.46;458.80;19.00
2022-03-26;0.00;35.36;62.93;818.95;0.00
2022-03-27;120.00;35.09;44.10;590.55;9.00
